station_a,station_b,distance_km,n_both_active_hours,n_offline_a,n_offline_b,n_both_offline,p_offline_a,p_offline_b,expected_both_offline_if_independent,cooccurrence_ratio
IDERNA7,IMURQU7,802.6267933990296,3900,1761,507,238,0.45153846153846156,0.13,228.93,1.039619097540733
IDERNA7,INALUT3,1060.180633480487,3876,1737,1404,679,0.4481424148606811,0.3622291021671827,629.1919504643963,1.079161930629979
IDERNA7,INUQAT10,964.6519669204855,3786,1718,643,390,0.4537770734284205,0.16983623877443213,291.7786582144744,1.3366296300990157
IDERNA7,INUQAT8,996.9731894094574,3864,1736,263,196,0.4492753623188406,0.06806418219461698,118.15942028985508,1.658775910707715
IDERNA7,INUQAT9,952.5027726449039,3844,1735,578,342,0.45135275754422477,0.15036420395421435,260.8818938605619,1.3109380453317114
IDERNA7,ITAHLI1,899.500482650326,3891,1752,459,256,0.4502698535080956,0.117964533538936,206.67386276021588,1.2386665472886262
IDERNA7,ITRIPO32,864.5254129555497,3634,1639,1898,913,0.45101816180517335,0.5222894881673088,856.0324711062191,1.066548327098111
IDERNA7,ITRIPO33,885.7391731930908,3733,1652,622,354,0.44253951245646933,0.1666220198231985,275.2595767479239,1.2860587965089574
IDERNA7,IZAWIY5,940.2632273964591,3946,1807,458,271,0.457932083122149,0.11606690319310695,209.73289406994425,1.29211968013765
IDERNA7,IZAWIY7,920.0230422562837,3911,1772,458,274,0.45308105343901817,0.11710559959089747,207.51112247507032,1.320411150650093
IJABAL13,IJABAL14,33.45645019118276,4146,412,412,212,0.09937288953207911,0.09937288953207911,40.94163048721659,5.178103497030823
IJABAL13,IJABAL15,82.10549236633982,4146,412,413,272,0.09937288953207911,0.09961408586589483,41.04100337674867,6.627518277345495
IJABAL13,IJABAL16,31.866283381169104,4117,410,701,219,0.09958707796939519,0.17026961379645372,69.81054165654602,3.137062036811524
IJABAL13,IJANZO2,89.92938493990863,4056,387,393,204,0.09541420118343195,0.09689349112426035,37.49778106508875,5.440321912539204
IJABAL13,IJANZO3,81.11755843028665,4073,391,444,224,0.0959980358458139,0.10901055732875031,42.623127915541374,5.255362779659454
IJABAL13,IJANZO4,89.46174147239883,3479,360,2821,338,0.10347801092267893,0.8108651911468813,291.9114688128772,1.1578853046594983
IJABAL13,IMISRA12,239.84361477022549,3888,340,484,187,0.0874485596707819,0.12448559670781893,42.32510288065844,4.418181818181818
IJABAL13,IMISRA13,192.27243790098822,4163,414,562,297,0.09944751381215469,0.1349987989430699,55.889502762430936,5.314056939501779
IJABAL13,IMURQU5,103.13415606278379,3889,407,978,213,0.10465415273849318,0.25147852918488045,102.35176137824634,2.081058470629023
IJABAL13,IMURQU6,170.38736812008094,3534,390,1435,290,0.11035653650254669,0.4060554612337295,158.3616298811545,1.8312516751541141
IJABAL13,IMURQU7,148.99830172057844,4094,410,612,162,0.10014655593551539,0.14948705422569614,61.28969223253541,2.643185078909613
IJABAL13,INALUT3,110.75209089632294,4070,388,1531,285,0.09533169533169533,0.3761670761670762,145.95282555282557,1.9526857319856974
IJABAL13,INUQAT10,77.54473646582836,3980,387,653,236,0.09723618090452261,0.16407035175879398,63.49522613065327,3.716814859661827
IJABAL13,INUQAT8,104.05417579065458,4058,387,280,181,0.09536717594874322,0.06899950714637752,26.7028092656481,6.778313030638613
IJABAL13,INUQAT9,71.17124072208189,4038,387,660,247,0.09583952451708767,0.16344725111441308,63.25408618127786,3.904886070002349
IJABAL13,ITAHLI1,63.8461051856256,4085,403,474,229,0.09865361077111383,0.1160342717258262,46.76181150550796,4.8971584424830645
IJABAL13,ITRIPO32,116.89041244723101,3634,370,1898,246,0.10181618051733626,0.5222894881673088,193.24711062190426,1.2729815168171332
IJABAL13,ITRIPO33,103.78550838175924,3959,387,636,254,0.09775195756504168,0.16064662793634757,62.17024501136652,4.085555718069978
IJABAL13,IZAWIY5,72.38040442615741,4140,412,543,198,0.09951690821256039,0.13115942028985508,54.037681159420295,3.6641098535643404
IJABAL13,IZAWIY7,76.41907860742482,4105,410,472,245,0.09987819732034105,0.11498172959805116,47.142509135200974,5.197008061182307
IJABAL14,IJABAL15,85.28231110391717,4180,412,413,189,0.09856459330143541,0.09880382775119617,40.70717703349282,4.642915912456805
IJABAL14,IJABAL16,61.346686985627144,4151,412,701,228,0.09925319200192724,0.16887496988677428,69.57648759335099,3.276969101006884
IJABAL14,IJANZO2,120.77470975706721,4090,398,393,143,0.09731051344743276,0.0960880195599022,38.24303178484108,3.739243290242561
IJABAL14,IJANZO3,110.63597178143812,4107,401,444,179,0.0976381787192598,0.10810810810810811,43.351351351351354,4.129052369077306
IJABAL14,IJANZO4,122.46874518789797,3479,334,2821,296,0.09600459902270768,0.8108651911468813,270.82897384305835,1.0929406695294275
IJABAL14,IMISRA12,266.698960629721,3922,372,484,158,0.09484956654767976,0.12340642529321774,45.907190209077,3.4417266506709323
IJABAL14,IMISRA13,222.50612529224233,4180,412,562,241,0.09856459330143541,0.13444976076555024,55.3933014354067,4.350706561171958
IJABAL14,IMURQU5,134.4112324394784,3888,409,978,146,0.1051954732510288,0.2515432098765432,102.88117283950618,1.4191129044354778
IJABAL14,IMURQU6,202.9586593072099,3534,327,1435,199,0.09252971137521222,0.4060554612337295,132.78013582342956,1.4987181536297667
IJABAL14,IMURQU7,180.79481207059501,4128,407,616,216,0.09859496124031007,0.14922480620155038,60.734496124031,3.55646319282683
IJABAL14,INALUT3,83.7952546209,4104,401,1535,294,0.09770955165692008,0.37402534113060426,149.9841617933723,1.9602069744206263
IJABAL14,INUQAT10,94.359902798529,4014,396,657,188,0.09865470852017937,0.16367713004484305,64.81614349775784,2.9005119690051204
