window_id,window_start_utc,station_count,outage_class,n_stations_resolved,max_pairwise_km,min_pairwise_km,median_pairwise_km,lat_min,lat_max,lon_min,lon_max,lat_range,lon_range,status,start_hour,is_midnight
NW_20251113T22,2025-11-13 22:00:00+00:00,15,unknown,15,1060.180633480487,6.256250176063599,104.05417579065458,32.00446,32.897844,11.381656,22.641455,0.8933839999999975,11.259799000000001,ok,22,True
NW_20251114T23,2025-11-14 23:00:00+00:00,6,unknown,6,918.0248557673087,46.61340668621818,134.4112324394784,29.124472,32.690144,12.264878,21.285446,3.5656719999999957,9.020568,ok,23,True
NW_20251119T23,2025-11-19 23:00:00+00:00,21,unknown,21,1000.3731273093186,6.256250176063599,115.04758906703566,29.124472,32.897844,11.381656,21.285446,3.7733719999999984,9.90379,ok,23,True
NW_20251122T22,2025-11-22 22:00:00+00:00,16,unknown,16,302.8995823607052,13.207627050342301,91.34257887370109,31.976779,32.897844,11.381656,14.574401,0.9210649999999987,3.1927450000000004,ok,22,True
NW_20251124T23,2025-11-24 23:00:00+00:00,16,unknown,16,1000.3731273093186,6.256250176063599,110.69403133888054,29.124472,32.881258,11.381656,21.285446,3.7567860000000017,9.90379,ok,23,True
NW_20251128T22,2025-11-28 22:00:00+00:00,16,unknown,16,1000.3731273093186,12.956083583930782,97.81629603902864,29.124472,32.881396,11.381656,21.285446,3.7569240000000015,9.90379,ok,22,True
NW_20251203T14,2025-12-03 14:00:00+00:00,5,unknown,5,213.49331592698113,25.86481172896806,104.01960758049543,31.976779,32.690144,11.381656,13.623417,0.713364999999996,2.2417610000000003,ok,14,False
NW_20251203T23,2025-12-03 23:00:00+00:00,18,unknown,18,1000.3731273093186,12.956083583930782,117.58113272488697,29.124472,32.897844,11.381656,21.285446,3.7733719999999984,9.90379,ok,23,True
NW_20251207T16,2025-12-07 16:00:00+00:00,5,unknown,5,172.50117594491726,26.437481973348483,81.59436250222956,32.348137,32.881396,12.798849,14.574401,0.533259000000001,1.7755519999999994,ok,16,False
NW_20251229T07,2025-12-29 07:00:00+00:00,5,unknown,5,349.8382384197245,70.70179996116894,149.22797280873215,31.971379,32.752357,11.381656,15.091041,0.7809780000000046,3.709385000000001,ok,7,False
NW_20251231T16,2025-12-31 16:00:00+00:00,5,unknown,5,1000.3731273093186,46.378667453838744,290.64882937955906,29.124472,32.65723,11.381656,21.285446,3.5327579999999976,9.90379,ok,16,False
NW_20260131T12,2026-01-31 12:00:00+00:00,6,unknown,6,1060.180633480487,6.256250176063599,157.1798543179809,32.00446,32.784235,11.381656,22.641455,0.7797750000000008,11.259799000000001,ok,12,False
NW_20260201T09,2026-02-01 09:00:00+00:00,5,unknown,5,932.8994162692786,32.485681013733235,188.02454843675437,29.124472,32.756648,12.452316,21.285446,3.6321759999999976,8.83313,ok,9,False
NW_20260206T16,2026-02-06 16:00:00+00:00,6,unknown,6,119.59228519363526,14.02985302043116,73.1029378670759,32.081197,32.881396,12.888562,14.077052,0.8001989999999992,1.1884899999999998,ok,16,False
NW_20260303T23,2026-03-03 23:00:00+00:00,6,unknown,6,932.8994162692786,12.292673390920617,192.0373711645383,29.124472,32.752357,12.264878,21.285446,3.6278850000000027,9.020568,ok,23,True
NW_20260305T23,2026-03-05 23:00:00+00:00,6,unknown,6,222.50612529224233,12.292673390920617,142.02861355614874,31.92421,32.752357,12.264878,14.574401,0.8281470000000049,2.3095230000000004,ok,23,True
NW_20260307T23,2026-03-07 23:00:00+00:00,7,unknown,7,302.8995823607052,12.292673390920617,140.1072844673102,31.92421,32.752357,11.381656,14.574401,0.8281470000000049,3.1927450000000004,ok,23,True
NW_20260308T23,2026-03-08 23:00:00+00:00,14,unknown,14,981.6035288021835,6.256250176063599,92.83598178005931,29.124472,32.897844,11.967586,21.285446,3.7733719999999984,9.31786,ok,23,True
NW_20260316T22,2026-03-16 22:00:00+00:00,6,unknown,6,898.6519694517569,26.437481973348483,151.87924400931558,29.124472,32.65723,12.551183,21.285446,3.5327579999999976,8.734263,ok,22,True
NW_20260317T02,2026-03-17 02:00:00+00:00,6,unknown,6,186.14218165332824,38.22642076604205,82.10549236633982,31.461729,32.897844,11.967586,13.018256,1.436115000000001,1.0506699999999984,ok,2,False
