station_a,station_b,distance_km,n_both_active_hours,n_offline_a,n_offline_b,n_both_offline,p_offline_a,p_offline_b,expected_both_offline_if_independent,cooccurrence_ratio
IALWAH18,INUQAT10,945.7931025092751,3705,93,383,7,0.025101214574898785,0.10337381916329284,9.613765182186233,0.7281226311799883
IALWAH18,INUQAT8,981.6035288021835,3805,94,53,3,0.024704336399474378,0.01392904073587385,1.309329829172142,2.2912484945804894
IALWAH18,INUQAT9,932.8994162692786,3662,92,275,9,0.025122883670125613,0.07509557618787548,6.908793009284543,1.3026877470355733
IALWAH18,ITAHLI1,872.308466001155,3783,91,161,9,0.024054982817869417,0.042558815754692045,3.8728522336769764,2.3238686779059448
IALWAH18,ITRIPO32,860.5191118047845,3243,68,1531,41,0.020968239284613013,0.47209374036386065,32.10237434474253,1.2771640988204553
IALWAH18,ITRIPO33,879.4929955361641,3651,79,347,20,0.021637907422623937,0.09504245412215831,7.508353875650506,2.6636997045197535
IALWAH18,IZAWIY5,922.4313667634484,3772,94,215,1,0.024920466595970307,0.05699893955461294,5.357900318133616,0.18664027709054923
IALWAH18,IZAWIY7,904.1281587687238,3802,92,180,0,0.0241977906365071,0.04734350341925302,4.355602314571278,0.0
IBARAS3,IBIRAL3,46.10933177347184,3717,215,186,2,0.0578423459779392,0.05004035512510089,10.758676351896693,0.1858964741185296
IBARAS3,IDERNA7,905.2641562724161,3641,213,1578,96,0.058500411974732214,0.4333974182916781,92.31365009612743,1.039932879915743
IBARAS3,IJABAL13,44.224473012820106,3706,196,43,2,0.0528872099298435,0.011602806260118727,2.2741500269832704,0.8794494542002848
IBARAS3,IJABAL14,75.07721870764338,3716,220,108,4,0.059203444564047365,0.02906350914962325,6.393972012917115,0.6255892255892256
IBARAS3,IJABAL15,75.8525493618402,3762,172,53,8,0.045720361509835196,0.014088250930356193,2.4231791600212653,3.3014480035103113
IBARAS3,IJABAL16,14.02985302043116,3718,213,345,15,0.05728886498117267,0.09279182356105432,19.76465841850457,0.7589303939579507
IBARAS3,IJANZO2,75.31002021186977,3749,215,105,4,0.05734862630034676,0.028007468658308884,6.02160576153641,0.6642746400885935
IBARAS3,IJANZO3,72.85741595848769,3761,215,158,9,0.057165647434193036,0.04201010369582558,9.0321722946025,0.9964380335590226
IBARAS3,IJANZO4,63.191336520805315,2917,154,2272,139,0.052793966403839564,0.7788824134384642,119.9478916695235,1.1588365419791475
IBARAS3,IMISRA12,196.26819099076252,3597,167,232,15,0.04642757853767028,0.0644981929385599,10.771198220739505,1.3926027255833162
IBARAS3,IMISRA13,148.1088171518185,3687,172,154,15,0.04665039327366423,0.041768375372931925,7.184160564144292,2.087926608275445
IBARAS3,IMURQU5,59.35684957122975,3412,119,586,4,0.03487690504103165,0.17174677608440797,20.437866354044544,0.19571514612671012
IBARAS3,IMURQU6,128.3472343880615,3074,171,1025,34,0.05562784645413142,0.33344176968119715,57.01854261548471,0.5962972471829981
IBARAS3,IMURQU7,105.72889815769271,3691,172,318,24,0.04659983744242752,0.08615551341099972,14.81874830669195,1.6195699868363322
IBARAS3,INALUT3,154.9736466874472,3726,220,1188,41,0.059044551798174985,0.3188405797101449,70.14492753623188,0.5845041322314051
IBARAS3,INUQAT10,95.7619296178009,3649,215,378,27,0.05892025212386955,0.10359002466429158,22.27185530282269,1.2122923588039867
IBARAS3,INUQAT8,129.39859827986976,3799,220,78,26,0.05790997630955515,0.020531718873387735,4.516978152145302,5.756060606060606
IBARAS3,INUQAT9,84.69183642630215,3676,220,302,44,0.05984766050054407,0.08215451577801959,18.073993471164307,2.4344370860927156
IBARAS3,ITAHLI1,40.042147147654134,3769,220,167,12,0.05837092066861237,0.044308835234810294,9.747943751658266,1.2310288513881327
IBARAS3,ITRIPO32,89.07904248611038,3186,182,1520,96,0.05712492153170119,0.4770872567482737,86.82988072818581,1.1056101792943898
IBARAS3,ITRIPO33,83.13348836332764,3617,220,347,37,0.060823887199336464,0.09593585844622615,21.105888858169752,1.7530652344773383
IBARAS3,IZAWIY5,79.11844418928193,3813,220,283,53,0.05769735116706006,0.07421977445580907,16.328350380277996,3.2458882107292
IBARAS3,IZAWIY7,71.24456916235161,3816,220,227,48,0.057651991614255764,0.05948637316561845,13.08700209643606,3.667761313576291
IBIRAL3,IDERNA7,944.6173354463419,3653,208,1560,74,0.05693950177935943,0.42704626334519574,88.82562277580071,0.8330929487179487
IBIRAL3,IJABAL13,24.230248363972667,3688,192,45,5,0.052060737527114966,0.01220173535791757,2.3427331887201737,2.134259259259259
IBIRAL3,IJABAL14,52.685431386176546,3849,208,110,9,0.05404001039230969,0.028578851649779163,5.944401143154066,1.5140297202797202
IBIRAL3,IJABAL15,102.87221191447152,3728,193,51,0,0.05177038626609442,0.013680257510729614,2.6402896995708156,0.0
IBIRAL3,IJABAL16,39.67186603255664,3733,200,350,8,0.05357621216180016,0.09375837128315029,18.751674256630057,0.4266285714285714
IBIRAL3,IJANZO2,68.09706169243633,3693,159,105,0,0.04305442729488221,0.02843216896831844,4.520714865962632,0.0
IBIRAL3,IJANZO3,58.133291145080875,3707,159,152,0,0.042891826274615595,0.0410035068788778,6.51955759374157,0.0
IBIRAL3,IJANZO4,71.84141598371701,2904,141,2241,124,0.04855371900826446,0.7716942148760331,108.80888429752065,1.1396128248217456
IBIRAL3,IMISRA12,240.08032828545805,3583,159,236,18,0.04437622104381803,0.06586659224113871,10.472788166341054,1.7187400063959068
IBIRAL3,IMISRA13,187.94853356937875,3749,193,153,1,0.051480394771939185,0.04081088290210723,7.876500400106695,0.12695993768837413
IBIRAL3,IMURQU5,98.64144623065386,3353,175,573,76,0.05219206680584551,0.1708917387414256,29.906054279749476,2.5412914485165796
IBIRAL3,IMURQU6,160.91147092632525,3076,187,1027,65,0.06079323797139142,0.33387516254876465,62.43465539661899,1.0410884722128206
IBIRAL3,IMURQU7,142.02861355614874,3715,162,294,6,0.04360699865410498,0.07913862718707941,12.820457604306863,0.46800201562106325
IBIRAL3,INALUT3,117.58113272488697,3696,159,1146,64,0.04301948051948052,0.31006493506493504,49.30032467532467,1.298165892851263
IBIRAL3,INUQAT10,55.67059924970311,3664,159,383,4,0.043395196506550215,0.10453056768558952,16.620360262008735,0.2406686700494277
IBIRAL3,INUQAT8,85.85905660818308,3764,159,78,1,0.0422422954303932,0.020722635494155154,3.2948990435706698,0.3034994355749073
IBIRAL3,INUQAT9,47.81694008818197,3692,159,302,7,0.043066088840736726,0.0817984832069339,13.005958829902491,0.538214836103128
IBIRAL3,ITAHLI1,48.04647588268435,3717,166,166,1,0.04465967177831585,0.04465967177831585,7.4135055152004306,0.13488895340397736
IBIRAL3,ITRIPO32,98.56023086047878,3224,141,1525,136,0.04373449131513648,0.47301488833746896,66.69509925558313,2.03913033368213
IBIRAL3,ITRIPO33,83.19740182275714,3585,149,347,4,0.04156206415620642,0.09679218967921897,14.42203626220363,0.2773533450670173
IBIRAL3,IZAWIY5,48.1941790483879,3801,193,239,0,0.05077611154959221,0.06287818995001315,12.135490660352538,0.0
IBIRAL3,IZAWIY7,53.024787810025465,3761,173,228,15,0.04599840467960649,0.060622174953469825,10.48763626695028,1.4302555521752356
IDERNA7,IJABAL13,949.4804706126015,3635,1505,44,19,0.4140302613480055,0.012104539202200825,18.21733149931224,1.042962851102386
IDERNA7,IJABAL14,978.8825202714892,3729,1602,121,56,0.42960579243765085,0.032448377581120944,51.98230088495575,1.077289751447055
IDERNA7,IJABAL15,920.7078610647517,3608,1539,51,18,0.42655210643015523,0.014135254988913526,21.75415742793792,0.8274280472422886
IDERNA7,IJABAL16,918.244579371539,3560,1536,309,131,0.4314606741573034,0.08679775280898877,133.32134831460675,0.9825883225458467
IDERNA7,IJANZO2,901.691548664846,3592,1521,99,51,0.4234409799554566,0.027561247216035634,41.9206570155902,1.216583985814755
IDERNA7,IJANZO3,914.4353311363813,3655,1552,177,65,0.4246238030095759,0.048426812585499315,75.15841313269493,0.8648399732075253
IDERNA7,IJANZO4,882.79873282097,2870,1143,2239,817,0.39825783972125434,0.7801393728222996,891.6993031358884,0.9162281467831261
IDERNA7,IMISRA12,714.4447830383596,3464,1477,218,95,0.42638568129330257,0.06293302540415704,92.95207852193995,1.0220320138142651
IDERNA7,IMISRA13,757.2976217989165,3680,1569,151,68,0.42635869565217394,0.04103260869565217,64.38016304347826,1.0562259675247658
IDERNA7,IMURQU5,846.8034932235907,3308,1459,599,252,0.4410519951632406,0.18107617896009673,264.1901451027811,0.9538584412448896
IDERNA7,IMURQU6,785.7037848795483,3170,1421,1032,550,0.44826498422712935,0.32555205047318614,462.60946372239755,1.188907800489883
IDERNA7,IMURQU7,802.6267933990296,3637,1568,266,92,0.43112455320318943,0.07313720098982678,114.67913115204838,0.8022383765536291
IDERNA7,INALUT3,1060.180633480487,3619,1497,1101,422,0.4136501796076264,0.30422768720641064,455.42884774799677,0.9265991868690452
